city,venue,dow,time,urls,formatted_address,geometry.location.lat,geometry.location.lng,types
(Austin),The Butterfly Bar @ The VORTEX,Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/787373592/trivia-at-The-Butterfly-Bar-The-VORTEX,"2307 Manor Rd, Austin, TX 78722, USA",30.28370839999999,-97.71742669999999,"['bar', 'establishment', 'point_of_interest']"
(Austin),Adelbert's Brewery,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/613111905/trivia-at-Adelbert-s-Brewery,"2314 Rutland Dr #100, Austin, TX 78758, USA",30.382611,-97.72003,"['establishment', 'food', 'point_of_interest']"
(Austin),Billy's on Burnet,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/20863496/trivia-at-Billy-s-on-Burnet,"2105 Hancock Dr, Austin, TX 78756, USA",30.3219946,-97.73979,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Gourmands,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/27695210/trivia-at-Gourmands,"2316 Webberville Rd, Austin, TX 78702, USA",30.262572,-97.7153465,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Mister Tramps,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/18191681/trivia-at-Mister-Tramps,"8565 Research Blvd., Austin, TX 78758, United States",30.3614382,-97.7162305,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Pinthouse Pizza (South Lamar),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/392851095/trivia-at-Pinthouse-Pizza-South-Lamar-,"7905, 4236 S Lamar Blvd, Austin, TX 78704, United States",30.236083,-97.795897,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Sour Duck Market,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/882419305/trivia-at-Sour-Duck-Market,"1241, 1814 E Martin Luther King Jr Blvd, Austin, TX 78702, United States",30.28004689999999,-97.72157469999999,"['establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),The Spider House,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/307322837/trivia-at-The-Spider-House,"2908 Fruth St, Austin, TX 78705, USA",30.295504,-97.741759,"['bar', 'cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
(Austin),Third Base (NorthWest),Wednesday,7:30 PM,https://www.geekswhodrink.com/venue/65454330/trivia-at-Third-Base-NorthWest-,"13301 US-183, Austin, TX 78750, USA",30.4452,-97.78658,"['bar', 'establishment', 'point_of_interest']"
(Austin),Trifecta on 3rd,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/36240273/trivia-at-Trifecta-on-3rd,"The 360 Tower, 360 Nueces St #30, Austin, TX 78701, USA",30.2670554,-97.74958769999999,"['bar', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant']"
(Austin),WhichCraft Tap Room & Bottle Shop,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/506712814/trivia-at-WhichCraft-Tap-Room-amp-Bottle-Shop,"1900 Simond Ave #200, Austin, TX 78723, USA",30.2971809,-97.70453169999999,"['bar', 'cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
(Austin),Austin Daily Press,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/760497337/trivia-at-Austin-Daily-Press,"1900 E Martin Luther King Jr Blvd B, Austin, TX 78702, USA",30.28022039999999,-97.72110149999999,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Flying Man Brewery,Thursday,7:00 PM,https://www.geekswhodrink.com/venue/755078194/trivia-at-Flying-Man-Brewery,"2400 Patterson Industrial Dr, Pflugerville, TX 78660, USA",30.402053,-97.628392,"['establishment', 'food', 'point_of_interest']"
(Austin),Independence Brewing Co.,Thursday,7:00 PM,https://www.geekswhodrink.com/venue/409902525/trivia-at-Independence-Brewing-Co-,"3913 Todd Ln #607, Austin, TX 78744, USA",30.2111852,-97.7360738,"['establishment', 'food', 'point_of_interest']"
(Austin),Indian Roller,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/403064768/trivia-at-Indian-Roller,"1322, 10006 Manchaca Rd, Austin, TX 78748, United States",30.1720664,-97.82535639999999,"['bar', 'establishment', 'point_of_interest']"
(Austin),Knomad Bar,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/37242155/trivia-at-Knomad-Bar,"1213 Corona Dr, Austin, TX 78723, USA",30.312582,-97.70488399999999,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),The Iron Bear,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/57880532/trivia-at-The-Iron-Bear,"121 W 8th St, Austin, TX 78701, USA",30.2701092,-97.74333689999999,"['bar', 'establishment', 'point_of_interest']"
(Austin),Third Base (South Park Meadows),Thursday,7:30 PM,https://www.geekswhodrink.com/venue/88645817/trivia-at-Third-Base-South-Park-Meadows-,"9600 S IH 35 Frontage Rd, Austin, TX 78748, USA",30.1605831,-97.7914742,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Trudy's (North Star),Thursday,7:00 PM,https://www.geekswhodrink.com/venue/624224297/trivia-at-Trudy-s-North-Star-,"8820 Burnet Rd, Austin, TX 78757, USA",30.3706045,-97.7275391,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Cherrywood Coffeehouse,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/906522717/trivia-at-Cherrywood-Coffeehouse,"1400 E 38th 1/2 St, Austin, TX 78722, USA",30.2935334,-97.7160134,"['bar', 'cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
(Austin),Coffee Shark Espresso and Pints,Saturday,7:00 PM,https://www.geekswhodrink.com/venue/601804025/trivia-at-Coffee-Shark-Espresso-and-Pints,"7300 Ranch Rd 2222, Austin, TX 78730, USA",30.3719131,-97.8021548,"['bakery', 'cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
(Austin),Opal Divine's (Marina),Saturday,10:00 PM,https://www.geekswhodrink.com/venue/37243183/trivia-at-Opal-Divine-s-Marina-,"12709 N Mopac Expy, Austin, TX 78727, USA",30.423577,-97.7021219,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
