,city,location,dow,time,urls
16,(Austin),Nickel City,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/677150556/trivia-at-Nickel-City
17,(Austin),Oasis Texas Brewing Company,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/772293108/trivia-at-Oasis-Texas-Brewing-Company
18,(Austin),Opal Divine's (Austin Grill),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/651143928/trivia-at-Opal-Divine-s-Austin-Grill-
19,(Austin),Pinthouse Pizza (Burnet),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/24692660/trivia-at-Pinthouse-Pizza-Burnet-
20,(Austin),Red's Porch,Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/26826167/trivia-at-Red-s-Porch
21,(Austin),The Brass Tap (Domain),Wednesday,8:00 PM,https://www.geekswhodrink.com/venue/443126318/trivia-at-The-Brass-Tap-Domain-
22,(Austin),The Butterfly Bar @ The VORTEX,Wednesday,7:00 PM,https://www.geekswhodrink.com/venue/787373592/trivia-at-The-Butterfly-Bar-The-VORTEX
23,(Austin),Adelbert's Brewery,Thursday,7:00 PM,https://www.geekswhodrink.com/venue/613111905/trivia-at-Adelbert-s-Brewery
24,(Austin),Billy's on Burnet,Thursday,7:00 PM,https://www.geekswhodrink.com/venue/20863496/trivia-at-Billy-s-on-Burnet
25,(Austin),Gourmands,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/27695210/trivia-at-Gourmands
26,(Austin),Mister Tramps,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/18191681/trivia-at-Mister-Tramps
27,(Austin),Pinthouse Pizza (South Lamar),Thursday,8:00 PM,https://www.geekswhodrink.com/venue/392851095/trivia-at-Pinthouse-Pizza-South-Lamar-
28,(Austin),Sour Duck Market,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/882419305/trivia-at-Sour-Duck-Market
29,(Austin),The Spider House,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/307322837/trivia-at-The-Spider-House
30,(Austin),Third Base (NorthWest),Thursday,7:30 PM,https://www.geekswhodrink.com/venue/65454330/trivia-at-Third-Base-NorthWest-
31,(Austin),Trifecta on 3rd,Thursday,8:00 PM,https://www.geekswhodrink.com/venue/36240273/trivia-at-Trifecta-on-3rd
32,(Austin),WhichCraft Tap Room & Bottle Shop,Thursday,7:00 PM,https://www.geekswhodrink.com/venue/506712814/trivia-at-WhichCraft-Tap-Room-amp-Bottle-Shop
33,(Austin),Austin Daily Press,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/760497337/trivia-at-Austin-Daily-Press
34,(Austin),Flying Man Brewery,Saturday,7:00 PM,https://www.geekswhodrink.com/venue/755078194/trivia-at-Flying-Man-Brewery
35,(Austin),Independence Brewing Co.,Saturday,7:00 PM,https://www.geekswhodrink.com/venue/409902525/trivia-at-Independence-Brewing-Co-
36,(Austin),Indian Roller,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/403064768/trivia-at-Indian-Roller
37,(Austin),Knomad Bar,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/37242155/trivia-at-Knomad-Bar
38,(Austin),The Iron Bear,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/57880532/trivia-at-The-Iron-Bear
39,(Austin),Third Base (South Park Meadows),Saturday,7:30 PM,https://www.geekswhodrink.com/venue/88645817/trivia-at-Third-Base-South-Park-Meadows-
40,(Austin),Trudy's (North Star),Saturday,7:00 PM,https://www.geekswhodrink.com/venue/624224297/trivia-at-Trudy-s-North-Star-
